description,directors,last_updated,link,name,number,prereq,website
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591HAN,Advanced Seminar,CS 591 HAN,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591HCI,Advanced Seminar,CS 591 HCI,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591GFX,Advanced Seminar,CS 591 GFX,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591DAI,Advanced Seminar,CS 591 DAI,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591CSO,Advanced Seminar,CS 591 CSO,,https://courses.grainger.illinois.edu/cs591cs/fa2021/index.html
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591FAC,Advanced Seminar,CS 591 FAC,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591FM,Advanced Seminar,CS 591 FM,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591DS,Advanced Seminar,CS 591 DS,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591CI,Advanced Seminar,CS 591 CI,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591CCR,Advanced Seminar,CS 591 CCR,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591BIO,Advanced Seminar,CS 591 BIO,,
"Seminar on topics of current interest as announced in the Class Schedule. Course Information: Approved for S/U grading only. May be repeated in the same or separate terms if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",[{}],,https://cs.illinois.edu/academics/courses/CS591ACT,Advanced Seminar,CS 591 ACT,,
"Will introduce students to the computational principles involved in autonomous vehicles, with practical labwork on an actual vehicle. Sensing topics will include vision, lidar and sonar sensing, including state-of-the-art methods for detection, classification, and segmentation. Bayesian filtering methods will be covered in the context of both SLAM and visual tracking. Planning and control topics will cover vehicle dynamics models, state-lattice planning, sampling-based kinodynamic planning, optimal control and trajectory optimization, and some reinforcement learning. Evaluation will involve ambitious challenge projects implemented on a physical vehicle. Course Information: 4 graduate hours. No professional credit. Prerequisite: CS 374, ECE 484, or equivalent.",[{'David Alexander Forsyth': 'https://cs.illinois.edu/about/people/all-faculty/daf'}],,https://cs.illinois.edu/academics/courses/CS588,Autonomous Vehicle System Eng,CS 588,,
Course Information: Same as IE 519. See IE 519.,[{}],,https://cs.illinois.edu/academics/courses/CS586,Combinatorial Optimization,CS 586,,
Course Information: Same as ECE 584. See ECE 584.,[{}],,https://cs.illinois.edu/academics/courses/CS584,Embedded System Verification,CS 584,,
"Approximation algorithms for NP-hard problems. Basic and advanced techniques in approximation algorithm design: combinatorial algorithms; mathematical programming methods including linear and semi-definite programming, local search methods, and others. Algorithms for graphs and networks, constraint satisfaction, packing and scheduling. Course Information: Prerequisite: CS 573 or consent of instructor.",[{}],,https://cs.illinois.edu/academics/courses/CS583,Approximation Algorithms,CS 583,,https://courses.engr.illinois.edu/cs583/fa2021/
"This graduate course on bioinformatics introduces a selection of topics in computational biology and bioinformatics, with special emphasis on current problems in regulatory genomics and systems biology. Computational approaches discussed will focus on Machine Learning techniques such as Bayesian inference, graphical models, supervised learning and network analysis. Bioinformatics topics will be introduced through lectures by instructor and research paper presentations by students, and include regulatory sequence analysis, cistromics, epigenomics, regulatory network reconstruction, non-coding variant interpretation, and protein structure and function prediction. A research project involving real data analysis with techniques related to course content is mandatory and will help prepare students for bioinformatics research. Course Information: 4 graduate hours. No professional credit. Prerequisite: CS 446; Credit or concurrent enrollment in CS 466; or consent of instructor.",[{'Saurabh   Sinha': 'https://cs.illinois.edu/about/people/all-faculty/sinhas'}],,https://cs.illinois.edu/academics/courses/CS582,ML for Bioinformatics,CS 582,,
