description,link,name,number,prerequisites,profs,text_profs,type,units,websites
" Theoretical foundations, algorithms, methodologies, and applications for machine learning. Topics may include supervised methods for regression and classication (linear models, trees, neural networks, ensemble methods, instance-based methods); generative and discriminative probabilistic models; Bayesian parametric learning; density estimation and clustering; Bayesian networks; time series models; dimensionality reduction; programming projects covering a variety of real-world applications. ",https://www2.eecs.berkeley.edu/Courses/CS189,Introduction to Artificial Intelligence,CS 189, MATH 53 and MATH 54; and COMPSCI 70 or consent of instructor.,"[{'Anca\xa0Dragan': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/anca.html', 'Pieter\xa0Abbeel': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/abbeel.html'}]",Kai Pin Ryan Koh,LEC, 4.0,http://inst.eecs.berkeley.edu/~cs189
" Ideas and techniques underlying the design of intelligent computer systems. Topics include search, game playing, knowledge representation, inference, planning, reasoning under uncertainty, machine learning, robotics, perception, and language understanding.",https://www2.eecs.berkeley.edu/Courses/CS188,Introduction to Database Systems,CS 188," COMPSCI 61A, COMPSCI 61B, and COMPSCI 70.",[{'Lakshya\xa0Jain': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/lakshyajain.html'}],Kaitlyn Lee,WBL, 4.0,http://inst.eecs.berkeley.edu/~cs188
" Broad introduction to systems for storing, querying, updating and managing large databases. Computer science skills synthesizing viewpoints from low-level systems architecture to high-level modeling and declarative logic. System internals, including the complex details of query optimization and execution, concurrency control, indexing, and memory management.  More abstract issues in query languages and data modeling – students are exposed to formal relational languages, SQL, full-text search, entity-relationship modeling, normalization, and physical database design. Recent technological trends in the field, including “Big Data” programming libraries like MapReduce, and distributed key-value stores with various consistency models.",https://www2.eecs.berkeley.edu/Courses/CSW186,Efficient Algorithms and Intractable Problems,CS W186, COMPSCI 61B and COMPSCI 61C.,[{'Jelani\xa0Nelson': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/minilek.html'}],"Kevin Zhu,Tianchen Liu,Vaibhav Gattani",LEC, 4.0,http://inst.eecs.berkeley.edu/~cs186
" Concept and basic techniques in the design and analysis of algorithms; models of computation; lower bounds; algorithms for optimum search trees, balanced trees and UNION-FIND algorithms; numerical and algebraic algorithms; combinatorial algorithms. Turing machines, how to count steps, deterministic and nondeterministic Turing machines, NP-completeness. Unsolvable and intractable problems. ",https://www2.eecs.berkeley.edu/Courses/CS170,Introduction to Software Engineering,CS 170, COMPSCI 61B and COMPSCI 70.,"[{'Michael\xa0Ball': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/mball.html', 'Pamela\xa0Fox': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/pamelafox.html'}]",,LEC, 4.0,http://inst.eecs.berkeley.edu/~cs170
" Ideas and techniques for designing, developing, and modifying large software systems. Service-oriented architecture, behavior-driven design with user stories, cloud computing, test-driven development, automated testing, cost and quality metrics for maintainability and effort estimation, practical performance and security in software operations, design patterns and refactoring, specification and documentation, agile project team organization and management.",https://www2.eecs.berkeley.edu/Courses/CS169A,Programming Languages and Compilers,CS 169A, COMPSCI 61A and COMPSCI 61B; COMPSCI 70 is recommended.,[{'Sarah\xa0Chasins': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/schasins.html'}],Justin Lubin,LEC, 4.0,http://inst.eecs.berkeley.edu/~cs169a
" Survey of programming languages. The design of modern programming languages. Principles and techniques of scanning, parsing, semantic analysis, and code generation. Implementation of compilers, interpreters, and assemblers. Overview of run-time organization and error handling. ",https://www2.eecs.berkeley.edu/Courses/CS164,Operating Systems and System Programming,CS 164, COMPSCI 61B and COMPSCI 61C.,[{'Ion\xa0Stoica': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/stoica.html'}],"Edward Zeng,Sean Kim",LEC, 4.0,http://inst.eecs.berkeley.edu/~cs164
" Basic concepts of operating systems and system programming. Utility programs, subsystems, multiple-program systems. Processes, interprocess communication, and synchronization. Memory allocation, segmentation, paging. Loading and linking, libraries. Resource allocation, scheduling, performance evaluation. File systems, storage devices, I/O systems. Protection, security, and privacy. ",https://www2.eecs.berkeley.edu/Courses/CS162,Computer Security,CS 162," COMPSCI 61B, COMPSCI 61C, and COMPSCI 70.","[{'Nicholas\xa0Weaver': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nweaver.html', 'Raluca\xa0Popa': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/ralucap.html'}]",Nicholas Ngai,LEC, 4.0,http://inst.eecs.berkeley.edu/~cs162
" Introduction to computer security. Cryptography, including encryption, authentication, hash functions, cryptographic protocols, and applications. Operating system security, access control. Network security, firewalls, viruses, and worms. Software security, defensive programming, and language-based security. Case studies from real-world systems. ",https://www2.eecs.berkeley.edu/Courses/CS161,Introduction to Digital Design and Integrated Circuits Lab,CS 161, COMPSCI 61C; and COMPSCI 70 or MATH 55.,[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 4.0,http://inst.eecs.berkeley.edu/~cs161
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full three-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS151LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LB," EECS 16A, EECS 16B, and COMPSCI 61C; EL ENG 105 recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full three-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS151LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LB," EECS 16A, EECS 16B, and COMPSCI 61C; EL ENG 105 recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full three-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS151LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LB," EECS 16A, EECS 16B, and COMPSCI 61C; EL ENG 105 recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full three-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS151LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LB," EECS 16A, EECS 16B, and COMPSCI 61C; EL ENG 105 recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151lb
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g., implementation of a three-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS151LA,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LA," COMPSCI 61C, EECS 16A, EECS 16B, and EL ENG 105.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151la
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g., implementation of a three-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS151LA,Introduction to Digital Design and Integrated Circuits Lab,EECS 151LA," COMPSCI 61C, EECS 16A, EECS 16B, and EL ENG 105.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs151la
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g., implementation of a three-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS151LA,Introduction to Digital Design and Integrated Circuits,EECS 151LA," COMPSCI 61C, EECS 16A, EECS 16B, and EL ENG 105.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LEC, 2.0,http://inst.eecs.berkeley.edu/~eecs151la
" An introduction to digital and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher-levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits). The class includes extensive use of industrial grade design automation and verification tools for assignments, labs and projects.  
The class has two lab options: ASIC Lab (EECS 151LA) and FPGA Lab (EECS 151LB). Students must enroll in at least one of the labs concurrently with the class.",https://www2.eecs.berkeley.edu/Courses/EECS151,Introduction to Embedded Systems,EECS 151, EECS 16A and EECS 16B.,[{'Sanjit\xa0A.\xa0Seshia': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/seshia.html'}],,LEC, 3.0,http://inst.eecs.berkeley.edu/~eecs151
" This course introduces students to the basics of modeling, analysis, and design of embedded, cyber-physical systems. Students learn how to integrate computation with physical processes to meet a desired specification. Topics include models of computation, control, analysis and verification, interfacing with the physical world, real-time behaviors, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence of projects.",https://www2.eecs.berkeley.edu/Courses/EECS149,Optimization Models in Engineering,EECS 149," COMPSCI 61C and COMPSCI 70; EECS 16A and EECS 16B, or permission of instructor.",[{'Laurent\xa0El\xa0Ghaoui': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/elghaoui.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs149
" This course covers the fundamentals of probability and random processes useful in fields such as networks, communication, signal processing, and control. Sample space, events, probability law. Conditional probability. Independence. Random variables. Distribution, density functions. Random vectors. Law of large numbers. Central limit theorem. Estimation and detection. Markov chains. ",https://www2.eecs.berkeley.edu/Courses/EECS126,Introduction to Robotics,EECS 126, COMPSCI 70 preferred but not required; Familiarity with linear algebra.,"[{'Yi\xa0Ma,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/yima.html'}]","Jaeyun Seo,Jay Monga,Josephine Koe,Koushil Sreenath",LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs126
" This course is an introduction to the field of robotics. It covers the fundamentals of kinematics, dynamics, control of robot manipulators, robotic vision, sensing, forward & inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, & control. We will present techniques for geometric motion planning & obstacle avoidance. Open problems in trajectory generation with dynamic constraints will also be discussed. The course also presents the use of the same analytical techniques as manipulation for the analysis of images & computer vision. Low level vision, structure from motion, & an introduction to vision & learning will be covered. The course concludes with current applications of robotics.",https://www2.eecs.berkeley.edu/Courses/EECSC106A,Principles & Techniques of Data Science,EECS C106A," Familiarity with linear algebra at the level of EECS 16A/EECS 16B or Math 54. Experience coding in python at the level of COMPSCI 61A. 
Preferred: experience developing software at the level of COMPSCI 61B and experience using Linux.",[{}],"Alvin Wan,Fernando Perez",LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs106a
" In this course, students will explore the data science lifecycle, including question formulation, data collection and cleaning, exploratory data analysis and visualization, statistical inference and prediction​, and decision-making.​ This class will focus on quantitative critical thinking​ and key principles and techniques needed to carry out this cycle. These include languages for transforming, querying and analyzing data; algorithms for machine learning methods including regression, classification and clustering; principles behind creating informative data visualizations; statistical concepts of measurement error and prediction; and techniques for scalable data processing.",https://www2.eecs.berkeley.edu/Courses/CSC100,Computational Structures in Data Science,CS C100," COMPSCI C8 / DATA C8 / INFO C8 / STAT C8; and COMPSCI 61A, COMPSCI 88, or ENGIN 7; Corequisite:  MATH 54 or EECS 16A.",[{'Michael\xa0Ball': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/mball.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~cs100
" Development of Computer Science topics appearing in Foundations of Data Science (C8); expands computational concepts and techniques of abstraction. Understanding  the structures that underlie the programs, algorithms, and languages used in data science and elsewhere.   Mastery of a particular programming language while studying general techniques for managing program complexity, e.g., functional, object-oriented, and declarative programming. Provides practical experience with composing larger systems through several significant programming projects.",https://www2.eecs.berkeley.edu/Courses/CS88,Discrete Mathematics and Probability Theory,CS 88," MATH 1A. Also, this course is a Data Science connector course and may only be taken concurrently with or after COMPSCI C8/DATA C8/INFO C8/STAT C8. Students may take more than one Data Science connector (88) course if they wish, concurrent with or after having taken the C8 course.","[{'Babak\xa0AYAZIFAR': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/ayazifar.html', 'Satish\xa0Rao': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/rao.html'}]",Tarang Srivastava,LEC, 3.0,http://inst.eecs.berkeley.edu/~cs88
" Logic, infinity, and induction; applications include undecidability and stable marriage problem. Modular arithmetic and GCDs; applications include primality testing and cryptography. Polynomials; examples include error correcting codes and interpolation. Probability including sample spaces, independence, random variables, law of large numbers; examples include load balancing, existence arguments, Bayesian inference. ",https://www2.eecs.berkeley.edu/Courses/CS70,Machine Structures,CS 70," Sophomore mathematical maturity, and programming experience equivalent to that gained with a score of 3 or above on the Advanced Placement Computer Science A exam.","[{'John\xa0WAWRZYNEK': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/wawrzynek.html', 'Nicholas\xa0Weaver': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nweaver.html'}]","Avinash Nandakumar,Connor McMahon,Jerry Xu",LEC, 4.0,http://inst.eecs.berkeley.edu/~cs70
" The internal organization and operation of digital computers. Machine architecture, support for high-level languages (logic, arithmetic, instruction sequencing) and operating systems (I/O, interrupts, memory management, process switching). Elements of computer logic design. Tradeoffs involved in fundamental architectural design decisions. ",https://www2.eecs.berkeley.edu/Courses/CS61C,Data Structures,CS 61C," COMPSCI 61A, along with either COMPSCI 61B or COMPSCI 61BL, or programming experience equivalent to that gained in COMPSCI 9C, COMPSCI 9F, or COMPSCI 9G.",[{'Paul\xa0HILFINGER': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/hilfinger.html'}],"Anjali Kantharuban,Henry Maier,Linda Deng",LEC, 4.0,http://inst.eecs.berkeley.edu/~cs61c
